,hour,tweet,Tweets_duygu,sınıflandırma
29,03,EİB mayıs ayında  milyar  milyon dolar ihracat gerçekleştirdi  ,pozitif,ekonomi 
30,03,Fatih Altaylı paylaştı  AKP ve MHPliler nedenini niyeyse merak etmiyor  ,negatif,siyaset 
31,03,Hatayda askeri araç fabrikanın duvarı çarpıp alev aldı  ölü  ,negatif,dunya 
32,03,Bodrumdan dünyaya ahududu ve böğürtlen ihracatı  ,pozitif,ekonomi 
33,03,Zonguldakta araç su kanalına uçtu  yaralı  ,negatif,saglik 
34,03,Sibel Can yıllar  sonra bikinili görüntülendi  ,negatif,saglik 
35,03,BM Daimi Temsilcisi Linda Thomas Greenfield Hatayda  ,negatif,dunya 
36,03,Enflasyon rakamları açıklandı  ,negatif,ekonomi 
37,02,Depo fareleri  saatlik kamera görüntüsü izlenerek yakalandı  ,negatif,siyaset 
38,02,Antalyada kasırga operasyonunda gözaltına alınan şüphelilerden si adliyeye sevk edildi  ,pozitif,dunya 
39,02,Temel Karamollaoğlu  Esnaf Kongresinde konuştu Yardım denildiği zaman borçlu olana banka yolu gösteriliyor  ,negatif,siyaset 
40,02,Bartın Irmağında dikkat çeken köpükler oluştu  ,negatif,siyaset 
41,02,Kahramanmaraşta sarımsakta  bin ton rekolte gerçekleşti  ,negatif,ekonomi 
42,02,İzleyicilerin dikkati sayesinde Demi Jonesun hayatı kurtuldu  ,pozitif,kultur 
43,02,Minik Durunun ölümünde bilirkişi raporu beklenecek  ,pozitif,saglik 
44,02,İki otomobil kavşakta birbirine girdi  yaralı  ,negatif,spor 
45,02,Balıkesirde özel harekât destekli şafak operasyonu  ,pozitif,siyaset 
46,01,Ispartada  yıl hapis cezası ile aranan firari yakalandı  ,pozitif,siyaset 
47,01,Alanyada uyuşturucu operasyonu  gözaltı  ,pozitif,siyaset 
48,01,Londranın en lüks iki binası arasına kurulan şeffaf gökyüzü havuzu açıldı  ,pozitif,ekonomi 
49,01,Bostancı Sahilinde deniz salyası yoğunluğu su altı kamerasıyla görüntülendi  ,negatif,siyaset 
50,01,Polisten kaçak cep telefonu operasyonu  binin üzerinde gümrük kaçağı telefon ele geçirildi  ,negatif,siyaset 
51,01,Kim Kardashiandan   milyon takipçiye özel pozlar  ,pozitif,kultur 
52,01,Diyarbakırda göl kurudu binlerce balık telef oldu  ,negatif,dunya 
53,01,Batmanda kumar operasyonu  ,negatif,ekonomi 
54,01,Rasim Ozan Kütahyalıdan şok sözler Nagehancım bunlar bizim köpeğimiz  ,pozitif,kultur 
55,00,Alanyada polisten uyuşturucu baskını  gözaltı  ,pozitif,saglik 
56,00,İzmirde  ilçede uyuşturucu operasyonları  gözaltı  ,pozitif,ekonomi 
57,00,Sedat Pekere yurt dışına git diyen Süleyman Soyluymuş  Erdoğan onu bulsa oyacak gibi laflar etti  ,negatif,siyaset 
58,00,Mardinde boş arazide erkek cesedi bulundu  ,negatif,dunya 
59,00,Düştüğü taş ezme makinesinde bacağı kopan yaralı kepçeyle taşındı  ,negatif,saglik 
60,00,Nihal Candan  Nasıl seksi olunur bilmiyorum  ,negatif,saglik 
61,00,Samsunda  bin  adet uyuşturucu hap ele geçti  gözaltı  ,negatif,saglik 
62,00,Yabancı plakalı tır park halindeki  otomobile çarptı  ölü  ,negatif,siyaset 
63,00,UKOMEden scooter düzenlemesi Ücret tarifesi belli oldu  ,pozitif,ekonomi 
64,00,Uğur Dündardan Aslı Baykal paylaşımı Gözümün önüne kullanılmış eşya gibi bıraktığı  ,negatif,teknoloji 
65,23,Sivastaki kazada ölen  kişinin kimlikleri belirlendi  ,negatif,siyaset 
66,23,Amcasının minibüsünü kundakladı  ,negatif,siyaset 
67,23,Köpeklerini kurtarmak isteyen kadın ayıyı elleriyle itti  ,negatif,dunya 
68,23,Eş katili koca olay günü kılık değiştirmiş  ,negatif,siyaset 
69,23,Arkadaşların eğlencesi biri yoğun bakım diğerinin cezaevine gitmesiyle bitti  ,pozitif,siyaset 
70,23,Ünlü Playboy modeli Hayley Bray hayal gücüne yer bırakmadı  ,negatif,kultur 
71,23,Denetime takıldı rekor ceza yedi  ,negatif,ekonomi 
72,23,Osmaniye merkezli  ilde kaçak akaryakıt operasyonu  ,pozitif,ekonomi 
73,23,Haber için swinger partisine giden gazeteci canlı yayında ilişkiye girdi  ,negatif,siyaset 
74,23,Deniz Akkaya Selin Ciğercinin kariyeri arabada başladı orada bitecek  ,negatif,kultur 
75,23,Babacandan Erdoğana faiz tepkisi Kendini Merkeze başkan ata  ,pozitif,ekonomi 
76,22,Gündüz vakti şehre inen domuz sürüsü şok etti  ,negatif,dunya 
77,22,Evden kaçan Gülnaz Diyarbakırda bulundu  ,negatif,siyaset 
78,22,Şeyma Subaşına milyarder sevgilisinden evlilik teklifi  ,negatif,siyaset 
79,22,Erdoğana sert çıkış Faizenflasyon konularında susun Sayın Cumhurbaşkanı  ,negatif,siyaset 
80,22,Diyarbakır Türkiyenin en önemli petrol üretim şehirlerinden birisi olacak  ,pozitif,ekonomi 
81,22,Mucize Doktorun kızları tatilde Olay paylaşımlar  ,pozitif,saglik 
82,22,Müge Anlıda ortalık karıştı Canlı yayında saldırı  ,negatif,siyaset 
83,22, yerinden bıçaklanan Dilek hemşire boşanma savaşı veriyor  ,negatif,saglik 
84,22,Sosyetik güzel Süreyya Yalçından iddialı pozlar  ,pozitif,kultur 
85,22,AKPli Kenan Sofuoğlundan olay yaratacak milletvekilliği açıklaması Bir daha asla diyerek itiraf etti  ,negatif,siyaset 
86,21,Ünlülerin eğlencesine polis baskını  ,negatif,saglik 
87,21,Boşandığı kadını öldüresiye döven İbrahim Zarapa  yıl hapis cezası  ,negatif,dunya 
88,21,GAP gümrük kapılarında  milyon liralık kaçak eşya ele geçirildi  ,negatif,ekonomi 
89,21,Çamlıca Kulesine giriş ücreti ve kaferestoran fiyatları belli oldu  ,pozitif,kultur 
90,21,Doğrusunu benden duyun dedi ve açıkladı Şeyma Subaşı hamile diyenler  ,negatif,siyaset 
91,21,Uyurken diş sıkmak yüz genişlemesi nedeni  ,negatif,saglik 
92,21,Sivasta katliam gibi kaza  ölü  ,negatif,siyaset 
93,21,Demet Özdemirin ayna pozuna beğeni yağdı  ,negatif,kultur 
94,21,Son anket sonuçlarında HDP detayı Belirleyici olacak  ,pozitif,siyaset 
95,20,Beyaz Saraydan BidenErdoğan görüşmesi açıklaması  ,pozitif,siyaset 
96,20,AKPde bir istifa kararı daha  ,negatif,siyaset 
97,20,Sedat Peker açıklayacağım dedi Özelden Süleyman Soyluya çağrı  ,negatif,siyaset 
98,20,Sibel Can yıllar sonra bikinili görüntülendi  ,negatif,saglik 
99,20,Cumhuriyet Yazarı Barış Pehlivan Soylu FETÖyü Soruşturan Savcıya Kes Artık Haddini Bildiririm Dedi  ,negatif,siyaset 
100,20,Altaylıdan Müsilaja Tepki AKP ve MHPli Vekillerin Dikkatini Çekmiyor  ,negatif,siyaset 
101,20,Erkam Yıldırımın Venezuela gezisinde yeni gelişme Ülkedeki Türkler Binali Yıldırımı yalanladı  ,negatif,siyaset 
102,20,Fatih Altaylı paylaştı AKP ve MHPliler nedenini niyeyse merak etmiyor  ,negatif,siyaset 
103,20,Pandemi öncesi de durgundu pandemiden sonra sinek uçmuyor  ,negatif,saglik 
104,20,Gelecek Partisi Genel Başkan Yardımcısı Çevik partisinden istifa etti  ,negatif,siyaset 
105,20,Ünlü sunucu Ezgi Avcının tatil pozları mest etti  ,pozitif,saglik 
106,20,Erdoğanın eski danışmanı öyle şeyler söyledi ki Bütün cihan biliyor tartışma ayyuka çıktı  ,negatif,siyaset 
107,20,Adnan Oktarın evinde polisi bile şoke eden Cem Küçük belgeleri  ,pozitif,siyaset 
108,20,Topbaşın damadı Kavurmacının ortağının İBBye sattığı araziden belediye  milyon dolar zarara uğratılmış  ,negatif,ekonomi 
109,20,CHPli Tanrıkulu Yargıtay Mehmet Ağar hakkında infaz edilmiş cezayı kaldırdı  ,negatif,siyaset 
110,20,İstanbul seferini yapan uçakta taciz iddiası Ortalık karıştı  ,negatif,siyaset 
111,20,Sarat İttifakında gerilim MHP ve AKP arasındaki süreç en başa dönebilir  ,negatif,siyaset 
112,20,Ezgi Molaya destek vermek suç ise bu suçu hepimiz işliyoruz  ,negatif,siyaset 
113,20,Kim Kardashiandan  milyon takipçiye özel pozlar  ,pozitif,kultur 
114,20,Atilla Pekerin ifadesi ortaya çıktı  ,negatif,siyaset 
115,19,Magazin muhabirinden şok iddia Nagehan Alçı ve Rasim Ozan Kütahyalı boşandı  ,negatif,kultur 
116,19,Temel Karamollaoğlu Esnaf Kongresinde konuştu Yardım denildiği zaman borçlu olana banka yolu gösteriliyor  ,negatif,siyaset 
117,19,Tuvana Türkay Türkiyeden gidiyor  ,negatif,spor 
118,19,AKPde istifa şoku Peş peşe açıkladılar  ,negatif,siyaset 
119,19,Esnafın vergi borçlarına faizsiz erteleme  ,pozitif,ekonomi 
120,19,Sedat Peker pazar günü açıklayacağım demişti CHPli Özelden Süleyman Soyluya çağrı  ,negatif,siyaset 
121,19,TBMM Başkanı Şentop  bin dolar alan kimse açıklansın  ,negatif,siyaset 
122,19,Mike Tysondan olay yaratan itiraf Hapisten çıkma karşılığı cinsel ilişkiye girmiş  ,negatif,saglik 
123,19,Nihal Candan Nasıl seksi olunur bilmiyorum  ,negatif,saglik 
124,19,Gri pasaport skandalında son perde MHPli Karataş Belediyesi olmayan mehter takımıyla insan kaçırmış  ,negatif,siyaset 
125,19,AKPli eski vekil çirkin sözlerle oy istedi Eğer kaybedersek Reise böyle derler  ,negatif,siyaset 
126,19,Belediye meclisinde MHPliler Millet İttifakına destek verdi AKPliler salonu terk etti  ,negatif,siyaset 
127,19,LeMandan bomba Sedat Peker kapağı  ,negatif,kultur 
128,19,Erdoğanın  doz aşı oldum sözlerinin ardından Prof Dr Mehmet Ceyhandan açıklama  ,negatif,siyaset 
129,19,Ezgi Molaya Destek Veren  Ünlü İsme Suç Duyurusu  ,negatif,siyaset 
130,19,Ahmet Takan  Siyaset sahnesindeki racon kesmelere esaslı bir şamar indirdi  ,negatif,siyaset 
131,19,UKOMEden scooter düzenlemesi Ücret tarifesi belli oldu  ,pozitif,ekonomi 
132,19,Bahçeli Erdoğanın  yıllık dostunu FETÖcü ilan etti İttifak dağılıyor mu  ,negatif,siyaset 
133,18,Kılıçdaroğlundan Saraya yanıt Trolleri Kılıçdaroğlu yapmıştır derken  ,negatif,siyaset 
134,18,Hataydan acı haber  asker şehit oldu  ,negatif,siyaset 
135,18,Haber için swinger partisine giden gazeteci canlı yayında ilişkiye girdi  ,negatif,siyaset 
136,18,İngiltereden Türkiye için kırmızı liste kararı  ,negatif,dunya 
137,17,Erdoğana sert çıkış Faizenflasyon konularında susun Sayın Cumhurbaşkanı  ,negatif,siyaset 
138,16,Müge Anlıda ortalık karıştı Canlı yayında saldırı  ,negatif,siyaset 
139,16,SONDAKİKA Türkiyede koronavirüsten  kişi daha hayatını kaybetti  bin  yeni vaka var  ,pozitif,saglik 
140,16,Sağlık Bakanlığı uygulanan toplam aşı miktarını açıkladı  ,pozitif,saglik 
141,16,Cumhuriyet Yazarı Barış Pehlivan Soylu FETÖyü Soruşturan Savcıya Kes Artık Haddini Bildiririm Dedi  ,negatif,siyaset 
142,16,Ankarada Kimyasal Madde Üreten Fabrikada Yangın Çıktı  ,negatif,ekonomi 
143,16,Sedat Peker açıklayacağım dedi Özelden Süleyman Soyluya çağrı  ,negatif,siyaset 
144,16,Atilla Pekerin Kutlu Adalı Cinayetiyle İlgili Verdiği İfade Ortaya Çıktı  ,negatif,siyaset 
145,16,Altaylıdan Müsilaja Tepki AKP ve MHPli Vekillerin Dikkatini Çekmiyor  ,negatif,siyaset 
146,16,AK Parti Sözcüsü Çelik Müzisyenlere  milyon TLye ulaşan destek verilecek  ,pozitif,siyaset 
147,16,Gelecek Partisi Genel Başkan Yardımcısı Çevik partisinden istifa etti  ,negatif,siyaset 
148,16,AKP Sözcüsü Ömer Çelikten erken seçim açıklaması  ,negatif,siyaset 
149,15,Serbest piyasada gün sonu altın fiyatları  ,pozitif,ekonomi 
150,15,Beyaz Saraydan BidenErdoğan görüşmesi açıklaması  ,pozitif,siyaset 
151,13,Boşandığı kadını öldüresiye döven İbrahim Zarapa  yıl hapis cezası  ,negatif,dunya 
152,13,Gri pasaport skandalında son perde MHPli Karataş Belediyesi olmayan mehter takımıyla insan kaçırmış  ,negatif,siyaset 
153,13,TBMM Başkanı Şentop  bin dolar alan kimse açıklansın  ,negatif,siyaset 
154,12,AKPde istifa şoku Peş peşe açıkladılar  ,negatif,siyaset 
155,11,AKPli eski vekil çirkin sözlerle oy istedi Eğer kaybedersek Reise böyle derler  ,negatif,siyaset 
156,11,Mike Tysondan olay yaratan itiraf Hapisten çıkma karşılığı cinsel ilişkiye girmiş  ,negatif,saglik 
157,11,Yolsuzluğu tespit edip istifa eden AKPli Meclis Üyesi Esra Yılmaz video çekerek AKPyi bombaladı  ,negatif,siyaset 
158,10,Ünlülerin eğlencesine polis baskını  ,negatif,saglik 
159,10,BM Daimi Temsilcisi Linda Thomas Greenfield Hatayda  ,negatif,dunya 
160,10,Tatvanda çatışma  şehit  yaralı  ,negatif,dunya 
161,10,Bartın Irmağında dikkat çeken köpükler oluştu  ,negatif,siyaset 
162,09,Bahçeli Erdoğanın  yıllık dostunu FETÖcü ilan etti İttifak dağılıyor mu  ,negatif,siyaset 
163,08,Ahmet Takan  Siyaset sahnesindeki racon kesmelere esaslı bir şamar indirdi  ,negatif,siyaset 
164,08,Çamlıca Kulesine giriş ücreti ve kaferestoran fiyatları belli oldu  ,pozitif,kultur 
165,08,Osmaniye merkezli  ilde kaçak akaryakıt  operasyonu  ,pozitif,ekonomi 
166,08,Magazin muhabirinden şok iddia Nagehan Alçı ve Rasim Ozan Kütahyalı boşandı  ,negatif,kultur 
167,08,Sarat İttifakında gerilim MHP ve AKP arasındaki süreç en başa dönebilir  ,negatif,siyaset 
168,08,Enflasyon rakamları açıklandı  ,negatif,ekonomi 
169,08,LeMandan bomba Sedat Peker kapağı  ,negatif,kultur 
170,08,Topbaşın damadı Kavurmacının ortağının İBBye sattığı araziden belediye  milyon dolar zarara uğratılmış  ,negatif,ekonomi 
171,08,Erdoğanın  doz aşı oldum sözlerinin ardından Prof Dr Mehmet Ceyhandan açıklama  ,negatif,siyaset 
172,08,SONDAKİKA Sivasta katliam gibi kaza  ölü  ,negatif,siyaset 
173,07,Serbest piyasada döviz fiyatları   ,pozitif,ekonomi 
174,06,Sedat Pekerden Para alan Milletvekili paylaşımı Tayyip abi videosu neden ertelendi  ,negatif,siyaset 
175,06,Sağlık Bakanı Koca Maskelerin yüzümüzü terlettiği son yaz bu yaz olacak  ,negatif,saglik 
176,06,Şoke eden iddia Emniyet içinde birçok polis Sedat Pekere  ,negatif,siyaset 
177,06,Akşenerden Erdoğana  Süleyman Soylu çağrısı  ,pozitif,siyaset 
178,06,Fatih Altaylı Tüm açıklamalar Erkam Yıldırımın lehine olmadı bence  ,negatif,spor 
179,06,Demet Özdemirin  ayna pozuna beğeni yağdı  ,negatif,kultur 
180,06,Babacandan Erdoğana faiz tepkisi Kendini Merkeze başkan ata  ,pozitif,ekonomi 
181,06,Erdoğan özel yayınındaki gazeteciden Çankaya Köşkünden Bakın ben namaz kılıyorum paylaşımı  ,negatif,siyaset 
182,06,Erdoğan konuştu TRT YouTube yorumlarını nasıl saklayacağını şaşırdı  ,pozitif,siyaset 
183,05,AKPli Kenan Sofuoğlundan olay yaratacak milletvekilliği açıklaması Bir daha asla diyerek itiraf etti  ,negatif,siyaset 
184,05,Uğur Dündardan Aslı Baykal paylaşımı Gözümün önüne kullanılmış eşya gibi bıraktığı  ,negatif,teknoloji 
185,05,Milli Eğitim Bakanı Selçuktan telafi eğitimi açıklaması  ,negatif,siyaset 
186,05,CHPnin devletmafyasiyaset ilişkileri araştırılsın önerisi AKP ve MHP oyları ile reddedildi  ,negatif,siyaset 
187,05,Kılıçdaroğlu  Kim bu siyasetçi Cevap bekliyoruz  ,negatif,siyaset 
188,05,Ezgi Molaya Musa Orhana Hakaretten Hapis İstemi  ,negatif,kultur 
189,05,Doğrusunu benden  duyun dedi ve açıkladı Şeyma Subaşı hamile diyenler  ,negatif,siyaset 
190,05,Rasim Ozan Kütahyalıdan şok sözler Nagehancım bunlar bizim köpeğimiz  ,pozitif,kultur 
191,05,İçişleri Bakanlığından LGS genelgesi  ,negatif,siyaset 
192,05,Erkam Yıldırımın Venezuelaya kaç tane maske ve kit götürdüğü belli oldu  ,pozitif,dunya 
193,04,Son anket sonuçlarında HDP detayı Belirleyici olacak  ,pozitif,siyaset 
194,04,AKPli belediye başkanından intihar gafı  ,negatif,siyaset 
195,04,Ümit Kocasakaldan Rasim Ozan Kütahyalının çirkin sözlerine yanıt  ,negatif,siyaset 
196,04,İYİ Parti İstanbul İl Başkanı Kavuncuya FETÖden takipsizlik  ,negatif,siyaset 
197,04,Saadet Partisinden  esnaf kongresine videolu çağrı  ,pozitif,siyaset 
198,04,Merkez Bankası Başkanı Kavcıoğlu Erken gevşeme beklentisi ortadan kalkmalı  ,negatif,ekonomi 
199,04,Mucize Doktorun  kızları tatilde Olay paylaşımlar  ,pozitif,saglik 
200,04,Sedat Pekerin paylaşımlarına erişim engeli  ,negatif,siyaset 
201,04,Meral Akşenerden Erdoğana sert tepki Tehditler savursan da devam edeceğim  ,pozitif,siyaset 
202,04,Sedat Pekerden geri adım eleştirilerine yanıt Pazar günü şenlikli olacak  ,negatif,kultur 
203,04,Twitterda kapıştılar Nagehan Alçı Rasim Ozan Kütahyalıya sert çıktı  ,negatif,kultur 
204,03,Marmaradaki deniz salyası konusu meclis gündemine taşınıyor  ,negatif,siyaset 
205,03,BUSKİ faaliyetlerine meclis onayı  ,negatif,ekonomi 
206,03,Vezirköprüye  sanayi yatırımı  ,negatif,ekonomi 
207,03,Elazığda biten konutlar teslim edilmeye devam ediyor  depremzede daha evlerine kavuştu  ,negatif,ekonomi 
208,03,Köpeklerini kurtarmak  isteyen kadın ayıyı elleriyle itti  ,negatif,dunya 
209,03,Korona virüse yakalanan genç akademisyen hayatını kaybetti  ,negatif,saglik 
210,03,Resmi Gazetede yayımlandı KDV ve stopaj oranlarında indirim  Temmuza uzatıldı  ,pozitif,ekonomi 
211,03,İzleyicilerin dikkati  sayesinde Demi Jonesun hayatı kurtuldu  ,pozitif,kultur 
212,03,Balık avlamak için dalan emekli kaptanın cansız bedeni bulundu  ,negatif,siyaset 
213,03,Vanda  bin  yıllık baraj gölü ekoturizme açıldı  ,pozitif,ekonomi 
214,03,Kütahya vaka sayısında Türkiye incisi  ,pozitif,saglik 
215,02,Hatayda tırın açılan dorsesi yön levhalarına çarptı  ,negatif,ekonomi 
216,02,FETÖ firarisi yakalanarak tutuklandı  ,pozitif,siyaset 
217,02,Maske takmadığı için ceza yedi Bana anayasada maske kanunu gösterin genelgeler kanun değildir diyerek cezayı yırttı  ,negatif,siyaset 
218,02,Samsunda özel okul sahibine deepfake uygulamasıyla şantaj  ,negatif,siyaset 
219,02,Alanyada polisten uyuşturucu baskını  gözaltı  ,pozitif,saglik 
220,02,Deniz Akkaya Selin  Ciğercinin kariyeri arabada  başladı orada bitecek  ,negatif,kultur 
221,02,Siirtte  yıldır husumetli olan iki aile barıştırıldı  ,pozitif,siyaset 
222,02,Kırmızı ışık ihlali kazayla sonuçlandı  yaralı  ,negatif,saglik 
223,02,Davutoğlu pandoranın kutusu açıldıysa dedi itiraf etti Mustafa Şentop bana Süleyman Soylu ile ilgili dedi ki  ,negatif,siyaset 
224,01,Akıllı şehirler raporu açıklandı  ,negatif,teknoloji 
225,01,Batman Tarım ve Orman İl Müdürlüğü ile GAP idaresi arasında iş birliği protokolü imzalandı  ,pozitif,siyaset 
226,01,Çukur Final Bölüm Tanıtımı yayınlandı  ,negatif,kultur 
227,01,Direksiyon başında kalp krizi geçirip dükkana daldı  ,negatif,saglik 
228,01,Erzurumda uyuşturucu operasyonu  tutuklama  ,pozitif,siyaset 
229,01,Sosyetik güzel  Süreyya Yalçından iddialı pozlar  ,pozitif,kultur 
230,01,MGK bildirisinde İsrail ayrıntısı  ,negatif,siyaset 
231,01,Düğün sezonu açıldı Kuyumcukent esnafı kampanya başlattı  ,pozitif,ekonomi 
232,01,Nagehan Alçıdan bakanlara sert tepki Hepsini isim isim biliyorum  ,negatif,siyaset 
233,00, yıl hapis cezası bulunan şahıs yakalandı  ,pozitif,siyaset 
234,00,Eyüpsultanlılar Çiftalanda halk plajına kavuşuyor  ,pozitif,ekonomi 
235,00,Sedat Pekere  yurt  dışına git diyen Süleyman Soyluymuş  Erdoğan onu bulsa oyacak gibi laflar etti  ,negatif,siyaset 
236,00,Aleyna Çakır davasında zorla getirme kararı  ,negatif,siyaset 
237,00,Kayseri tarihinin en büyük dolandırıcılık davası başlıyor  ,negatif,ekonomi 
238,00,Ünlü Playboy modeli  Hayley Bray hayal gücüne yer bırakmadı  ,negatif,kultur 
239,00,Mardinde iki aile arasında silahlı kavga  ölü  yaralı  ,negatif,dunya 
240,00, ilde insan kaçakçılığı yapan örgüte operasyon  ,negatif,siyaset 
241,00,Herkes bunu merak ediyordu Erdoğanın Sedat Pekerin videolarına yaptığı yorum ortaya çıktı  ,pozitif,siyaset 
242,23,Azerbaycan Yaklaşık  Ermeni askeri topraklarımıza girdi  ,negatif,dunya 
243,23,Kayıp genci öldüren enişteye  yıl hapis cezası  ,negatif,siyaset 
244,23,Fransadan Sedat Pekere şarkılıklipli destek  ,pozitif,kultur 
245,23,İngilterede yetişkinlerin te ü aşılandı  ,pozitif,teknoloji 
246,23,Diyarbakırdaki uyuşturucu operasyonunda ele geçirilen Hint keneviri  milyon köke yükseldi  ,negatif,ekonomi 
247,23,Pelin Akilden eşi Anıl Altanın paylaşımına olay yorum Amaç belli  ,negatif,kultur 
248,23,Bahar Şahinden Şeyma Subaşına olay gönderme Eniştemiz sağ olsun  ,negatif,siyaset 
249,23,Silahlı saldırıda kazara başka bir kişiyi vuran şahıs tutuklandı  ,negatif,dunya 
250,23,İstanbulda narkotik operasyonu  gözaltı  ,pozitif,saglik 
251,23,Safiye gibi takıntılı Masumlar Apartmanının Safiyesi Ezgi Mola photoshop kurbanı oldu  ,negatif,kultur 
252,23,AKPli isimlerin çocuklarına memur kıyağı ortaya çıktı  ,negatif,siyaset 
253,22,Silah kaçakçılarına  ilde eş zamanlı operasyon  gözaltı  ,pozitif,siyaset 
254,22,İsrailde cumhurbaşkanlığı yarışını Isaac Herzog kazandı  ,pozitif,dunya 
255,22,AKPye  dönem oy verdim kolumu koparsalar oy vermem  ,pozitif,siyaset 
256,22,Change oto operasyonunda  tutuklama  ,pozitif,siyaset 
257,22,Vanda terör operasyonu si güvenlik korucusu  gözaltı  ,pozitif,siyaset 
258,22,Ispartada cinayet iddiasıyla tutuklanan sanığın gerçek yaşı tespit edildi  ,pozitif,siyaset 
259,22,Gemi kaptanını öldüren sanığa tepki Boranın gözleri kabusun olsun  ,negatif,dunya 
260,22,Phoebe Priceın tenis topuyla yaptığı herkesi şaşkına çevirdi  ,negatif,teknoloji 
261,22,Fatih Altaylıdan iktidara olay sözler Açtı ağzını yumdu gözünü  ,negatif,siyaset 
262,21,Finlandiyalılar Alanyada sandık başına gitti  ,pozitif,siyaset 
263,21,Ajda Pekkan çiftlik kurmak için Kazdağlarında arazileri gezdi  ,pozitif,kultur 
264,21,İlişki sırası cinayetinde sevgiliye müebbet hapis talebi  ,negatif,siyaset 
265,21,İşte Erdoğanın Süleyman Soylunun yerine İçişleri Bakanlığına getirmeyi düşündüğü isim  ,negatif,siyaset 
266,21,Atilla Peker adli kontrolle serbest bırakıldı  ,negatif,siyaset 
267,21,Bıçakladığı sevgilisinin ölümüne neden olan Arzu Soytürk hakkında  yıla kadar hapis istemi  ,negatif,saglik 
268,21, kilo veren Pelin Öztekinden bikinili paylaşım  ,negatif,saglik 
269,21,Kuyumcuda  bin lira değerinde altını eline aldı en ağırları bunlar mı diye sorup altınlarla birlikte kaçtı  ,negatif,ekonomi 
270,21,Görev için gittiği evden  bin dolarlık eşya çalan polis tutuklandı  ,negatif,siyaset 
271,21,Köpeğin ayaklarını bağlayıp öldürdüler  ,negatif,dunya 
272,21,Seda Bakan bahçeyi podyuma çevirdi  ,pozitif,saglik 
273,21,Esnaf saat sınırlamasına tepkili Bu şekilde pandemi değil sadece esnaf biter  ,negatif,ekonomi 
274,20,Sağlık Bakanı Koca Maskelerin yüzümüzü terlettiği son yaz bu yaz olacak  ,negatif,saglik 
